origem,destino,valor
JOAQUIM TAVORA,MARACANAU (MARACANAU),45.0
JOAQUIM TAVORA,MARAPONGA,25.0
JOAQUIM TAVORA,MAURICIO DE NASSAU,8.0
JOAQUIM TAVORA,MEIRELES,15.0
JOAQUIM TAVORA,MESSEJANA,20.0
JOAQUIM TAVORA,MONDUBIM,30.0
JOAQUIM TAVORA,MONTE CASTELO,20.0
JOAQUIM TAVORA,MONTESE,17.0
JOAQUIM TAVORA,MUCURIPE,18.0
JOAQUIM TAVORA,MUSIQUE,30.0
JOAQUIM TAVORA,NORTH SHOPPING (BEZERRA),20.0
JOAQUIM TAVORA,PAN-AMERICANO,10.0
JOAQUIM TAVORA,PARANGABA,25.0
JOAQUIM TAVORA,PARQUE ARAXA,20.0
JOAQUIM TAVORA,PARQUE DOIS IRMAOS,25.0
JOAQUIM TAVORA,PARQUE IRACEMA,20.0
JOAQUIM TAVORA,PARQUELANDIA,20.0
JOAQUIM TAVORA,PARQUE MANIBURA,17.0
JOAQUIM TAVORA,PARQUE SANTANA,30.0
JOAQUIM TAVORA,PARQUE SAO JOSE,35.0
JOAQUIM TAVORA,PARREAO,15.0
JOAQUIM TAVORA,PASSARE,20.0
JOAQUIM TAVORA,PICI (PARQUE UNIVERSITARIO),25.0
JOAQUIM TAVORA,PRAIA DE IRACEMA,15.0
JOAQUIM TAVORA,PRAIA DO FUTURO,20.0
JOAQUIM TAVORA,PRAIA SABIAGUABA,30.0
JOAQUIM TAVORA,PRESIDENTE KENNEDY,25.0
JOAQUIM TAVORA,QUINTINO CUNHA,30.0
JOAQUIM TAVORA,RODOLFO TEOFILO,20.0
JOAQUIM TAVORA,RODOVIARIA (BORGE DE MELO),12.0
JOAQUIM TAVORA,SANTA MARIA MESSEJANA,25.0
JOAQUIM TAVORA,SAO CRISTOVAO,25.0
JOAQUIM TAVORA,SAO JOAO DO TAUAPE,8.0
JOAQUIM TAVORA,SAPIRANGA (COITE),25.0
JOAQUIM TAVORA,SERRINHA,25.0
JOAQUIM TAVORA,SHOPPING BENFICA,15.0
JOAQUIM TAVORA,SHOPPING IGUATEMI,13.0
JOAQUIM TAVORA,SHOPPING PARANGABA,20.0
JOAQUIM TAVORA,SHOPPING RIO MAR (PAPICU),20.0
JOAQUIM TAVORA,SHOPPING VIA SUL,25.0
JOAQUIM TAVORA,SIQUEIRA I,30.0
JOAQUIM TAVORA,TANCREDO NEVES,17.0
JOAQUIM TAVORA,UNIFOR,17.0
JOAQUIM TAVORA,UPA JOSE WALTER,25.0
JOAQUIM TAVORA,UPA PRAIA DO FUTURO,20.0
JOAQUIM TAVORA,URUCUTUBA,45.0
JOAQUIM TAVORA,VARJOTA,15.0
JOAQUIM TAVORA,VICENTE PINZON,20.0
JOAQUIM TAVORA,VILA ELLERY,25.0
JOAQUIM TAVORA,VILA MANOEL SATIRO,30.0
JOAQUIM TAVORA,VILA PERY,30.0
JOAQUIM TAVORA,VILA UNIAO,15.0
JOQUEI CLUB,ACARACUZINHO (MARACANAU),40.0
JOQUEI CLUB,AEROPORTO,20.0
JOQUEI CLUB,ALDEOTA,30.0
JOQUEI CLUB,ANCURI,35.0
JOQUEI CLUB,ANTONIO BEZERRA,15.0
JOQUEI CLUB,AQUIRAZ,70.0
JOQUEI CLUB,ARACAPE,20.0
JOQUEI CLUB,AUTRAN NUNES,15.0
JOQUEI CLUB,BAIRRO DE FATIMA,20.0
JOQUEI CLUB,BELA VISTA,10.0
JOQUEI CLUB,BENFICA,20.0
JOQUEI CLUB,BOM JARDIM,20.0
JOQUEI CLUB,BONSUCESSO,10.0
JOQUEI CLUB,CAJAZEIRAS,25.0
JOQUEI CLUB,CAMBEBA,35.0
JOQUEI CLUB,CANINDEZINHO,20.0
JOQUEI CLUB,CASTELAO,25.0
JOQUEI CLUB,CENTRO,30.0
JOQUEI CLUB,CIDADE DOS FUNCIONARIOS,25.0
JOQUEI CLUB,CONJUNTO CEARA ,15.0
JOQUEI CLUB,CONJUNTO ESPERANCA,17.0
JOQUEI CLUB,CONJUNTO PALMEIRAS,30.0
JOQUEI CLUB,DIAS MACEDO,20.0
JOQUEI CLUB,DIONISIO TORRES,30.0
JOQUEI CLUB,DRAGAO DO MAR,30.0
JOQUEI CLUB,GENTILANDIA,20.0
JOQUEI CLUB,GRANJA PORTUGAL,20.0
JOQUEI CLUB,GUARARAPES,25.0
JOQUEI CLUB,HENRIQUE JORGE,10.0
JOQUEI CLUB,HOSPITAL ANTONIO PRUDENTE (AGUANAMBI),25.0
JOQUEI CLUB,INDUSTRIAL,30.0
JOQUEI CLUB,ITAPERI,20.0
JOQUEI CLUB,JACARECANGA,25.0
JOQUEI CLUB,JARDIM AMERICA,15.0
JOQUEI CLUB,JARDIM DAS OLIVEIRAS,25.0
JOQUEI CLUB,JARDIM FLUMINENSE,20.0
JOQUEI CLUB,JEREISSATI I,35.0
JOQUEI CLUB,JOAO XXIII,10.0
JOQUEI CLUB,JOAQUIM TAVORA,25.0
JOQUEI CLUB,JOSE WALTER,23.0
JOQUEI CLUB,MARACANAU (MARACANAU),35.0
JOQUEI CLUB,MARAPONGA,23.0
JOQUEI CLUB,MARINA PARK,25.0
JOQUEI CLUB,MESSEJANA,30.0
JOQUEI CLUB,MONDUBIM,23.0
JOQUEI CLUB,MONTESE,15.0
JOQUEI CLUB,NOVO ORIENTE ( MARACANAU ),30.0
JOQUEI CLUB,PAN-AMERICANO,8.0
JOQUEI CLUB,PAPICU,40.0
JOQUEI CLUB,PARANGABA,12.0
JOQUEI CLUB,PARQUELANDIA,15.0
JOQUEI CLUB,PARQUE MANIBURA,25.0
JOQUEI CLUB,PARQUE SANTA ROSA (ESPERANÇA),25.0
JOQUEI CLUB,PASSARE,25.0
JOQUEI CLUB,PLANALTO AYRTON SENNA,23.0
JOQUEI CLUB,PRAIA DE IRACEMA,30.0
JOQUEI CLUB,PRAIA DO FUTURO,40.0
JOQUEI CLUB,SANTA MARIA MESSEJANA,30.0
JOQUEI CLUB,SAO CRISTOVAO,30.0
JOQUEI CLUB,SAO JOAO DO TAUAPE,25.0
JOQUEI CLUB,SERRINHA,15.0
JOQUEI CLUB,SHOPPING IGUATEMI,25.0
JOQUEI CLUB,SHOPPING RIO MAR (PAPICU),40.0
JOQUEI CLUB,SIQUEIRA I,23.0
JOQUEI CLUB,TIMBO (MARACANAU),35.0
JOQUEI CLUB,VICENTE PINZON,40.0
JOQUEI CLUB,VILA ELLERY,20.0
JOQUEI CLUB,VILA PERY,15.0
JOQUEI CLUB,VILA UNIAO,20.0
JOQUEI CLUB,VILA VELHA,25.0
JOSE BONIFACIO,AEROLANDIA,15.0
JOSE BONIFACIO,ALDEOTA,15.0
JOSE BONIFACIO,ALTO ALEGRE (MESSEJANA),30.0
JOSE BONIFACIO,BENFICA,10.0
JOSE BONIFACIO,BONSUCESSO,25.0
JOSE BONIFACIO,CAJAZEIRAS,20.0
JOSE BONIFACIO,CAMBEBA,25.0
JOSE BONIFACIO,CENTRO,10.0
JOSE BONIFACIO,CIDADE DOS FUNCIONARIOS,20.0
JOSE BONIFACIO,CONJUNTO ESPERANCA,25.0
JOSE BONIFACIO,DAMAS,15.0
JOSE BONIFACIO,DIONISIO TORRES,12.0
JOSE BONIFACIO,GARROTE (CAUCAIA),70.0
JOSE BONIFACIO,ITAMARATY,25.0
JOSE BONIFACIO,JACARECANGA,15.0
JOSE BONIFACIO,JARDIM DAS OLIVEIRAS,20.0
JOSE BONIFACIO,JEREISSATI I,40.0
JOSE BONIFACIO,JOSE WALTER,25.0
JOSE BONIFACIO,LUCIANO CAVALCANTE,20.0
JOSE BONIFACIO,MEIRELES,15.0
JOSE BONIFACIO,MESSEJANA,25.0
JOSE BONIFACIO,MONTESE,15.0
JOSE BONIFACIO,PARANGABA,25.0
JOSE BONIFACIO,PARQUELANDIA,15.0
JOSE BONIFACIO,PARQUE MANIBURA,20.0
JOSE BONIFACIO,PRAIA SABIAGUABA,35.0
JOSE BONIFACIO,RODOVIARIA (BORGE DE MELO),10.0
JOSE BONIFACIO,SANTA MARIA MESSEJANA,25.0
JOSE BONIFACIO,SAO JOAO DO TAUAPE,12.0
JOSE BONIFACIO,SAPIRANGA (COITE),25.0
JOSE BONIFACIO,SERRINHA,25.0
JOSE BONIFACIO,SHOPPING IGUATEMI,18.0
JOSE BONIFACIO,VARJOTA,20.0
JOSE BONIFACIO,VILA MANOEL SATIRO,25.0
JOSE DE ALENCAR,ALAGADICO,30.0
JOSE DE ALENCAR,ALDEOTA,25.0
JOSE DE ALENCAR,ALTO ALEGRE (MESSEJANA),15.0
JOSE DE ALENCAR,ALVARO WEYNE,6.0
JOSE DE ALENCAR,ANTONIO BEZERRA,35.0
JOSE DE ALENCAR,BAIRRO DE FATIMA,20.0
JOSE DE ALENCAR,BARRA DO CEARA,50.0
JOSE DE ALENCAR,BEIRA MAR,30.0
JOSE DE ALENCAR,CENTRO,25.0
JOSE DE ALENCAR,CIDADE DOS FUNCIONARIOS,15.0
JOSE DE ALENCAR,CONJUNTO ESPERANCA,25.0
JOSE DE ALENCAR,CONJUNTO PALMEIRAS,20.0
JOSE DE ALENCAR,DIAS MACEDO,25.0
JOSE DE ALENCAR,DRAGAO DO MAR,40.0
JOSE DE ALENCAR,EDSON QUEIROZ,20.0
JOSE DE ALENCAR,GUARARAPES,15.0
JOSE DE ALENCAR,HOSPITAL ANTONIO PRUDENTE (AGUANAMBI),25.0
JOSE DE ALENCAR,ITAMARATY,15.0
JOSE DE ALENCAR,JARDIM DAS OLIVEIRAS,15.0
JOSE DE ALENCAR,JEREISSATI I,40.0
JOSE DE ALENCAR,JOSE WALTER,25.0
JOSE DE ALENCAR,MEIRELES,30.0
JOSE DE ALENCAR,MESSEJANA,15.0
JOSE DE ALENCAR,MONTESE,30.0
JOSE DE ALENCAR,MUSIQUE,25.0
JOSE DE ALENCAR,PARQUELANDIA,30.0
JOSE DE ALENCAR,PARQUE MANIBURA,15.0
JOSE DE ALENCAR,PASSARE,25.0
JOSE DE ALENCAR,PRAIA DE IRACEMA,30.0
JOSE DE ALENCAR,RODOVIARIA (BORGE DE MELO),30.0
JOSE DE ALENCAR,SANTA FE,20.0
JOSE DE ALENCAR,SAO GERARDO,40.0
JOSE DE ALENCAR,SAO JOAO DO TAUAPE,25.0
JOSE DE ALENCAR,SAPIRANGA (COITE),10.0
JOSE DE ALENCAR,VILA UNIAO,25.0
JOSE WALTER,ABREOLANDIA,35.0
JOSE WALTER,ACARACUZINHO (MARACANAU),20.0
JOSE WALTER,ACARAPE,100.0
JOSE WALTER,AEROLANDIA,20.0
JOSE WALTER,AEROPORTO,20.0
JOSE WALTER,AGUA FRIA,25.0
JOSE WALTER,ALAGADICO,25.0
JOSE WALTER,ALDEOTA,25.0
JOSE WALTER,ALTO ALEGRE I (MARACANAU),20.0
JOSE WALTER,ALTO ALEGRE (MESSEJANA),20.0
JOSE WALTER,ALTO DA BALANCA,20.0
JOSE WALTER,ALTO DA MANGUEIRA,30.0
JOSE WALTER,ALVARO WEYNE,35.0
JOSE WALTER,AMADEO FURTADO,25.0
JOSE WALTER,ANCURI,20.0
JOSE WALTER,ANTONIO BEZERRA,30.0
JOSE WALTER,AQUIRAZ,40.0
JOSE WALTER,ARACAPE,15.0
JOSE WALTER,ARACATI,200.0
JOSE WALTER,ARATURI,40.0
JOSE WALTER,ATACADAO (AEROPORTO),15.0
JOSE WALTER,AUTRAN NUNES,30.0
JOSE WALTER,BAIRRO DE FATIMA,25.0
JOSE WALTER,BAIRRO ELLERY,30.0
JOSE WALTER,BANDEIRANTES (MARACANAU),20.0
JOSE WALTER,BANDEIRANTES (MESSEJANA),20.0
JOSE WALTER,BARRA DO CEARA,35.0
JOSE WALTER,BARROSO I,20.0
JOSE WALTER,BARROSO II,15.0
JOSE WALTER,BASE AEREA (FORTALEZA),25.0
JOSE WALTER,BATURITE,150.0
JOSE WALTER,BEACH PARK,40.0
JOSE WALTER,BEIRA MAR,30.0
JOSE WALTER,BELA VISTA,25.0
JOSE WALTER,BENFICA,25.0
JOSE WALTER,BOA VISTA (CASTELAO),18.0
JOSE WALTER,BOM FUTURO,20.0
JOSE WALTER,BOM JARDIM,30.0
JOSE WALTER,BONSUCESSO,25.0
JOSE WALTER,CACA E PESCA,35.0
JOSE WALTER,CAGADO ( MARACANAU ),30.0
JOSE WALTER,CAIS DO PORTO,35.0
JOSE WALTER,CAJAZEIRAS,20.0
JOSE WALTER,CAMBEBA,20.0
JOSE WALTER,CANINDE,150.0
JOSE WALTER,CANINDEZINHO,25.0
JOSE WALTER,CARLITO PAMPLONA,30.0
JOSE WALTER,CARREFOUR (BARAO DE STUDART),25.0
JOSE WALTER,CARREFOUR (MARAPONGA),15.0
JOSE WALTER,CASCAVEL,90.0
JOSE WALTER,CASTELAO,15.0
JOSE WALTER,CAUCAIA,40.0
JOSE WALTER,CENTRO,25.0
JOSE WALTER,CENTRO DE CONVECOES (WASHINGTON SOARES),25.0
JOSE WALTER,CENTRO (MARACANAU),25.0
JOSE WALTER,CHOROZINHO,80.0
JOSE WALTER,CIDADE 2000,30.0
JOSE WALTER,CIDADE DOS FUNCIONARIOS,20.0
JOSE WALTER,CIDADE NOVA,8.0
JOSE WALTER,CLUBE DO VAQUEIRO,30.0
JOSE WALTER,COACU,30.0
JOSE WALTER,COCO,25.0
JOSE WALTER,COLONIA(MARACANAU),30.0
JOSE WALTER,CONJUNTO CEARA ,30.0
JOSE WALTER,CONJUNTO ESPERANCA,18.0
JOSE WALTER,CONJUNTO PALMEIRAS,15.0
JOSE WALTER,COQUEIRAL (MARACANAU),25.0
JOSE WALTER,COUTO FERNANDES,25.0
JOSE WALTER,CRISTO REDENTOR,30.0
JOSE WALTER,CURIO,25.0
JOSE WALTER,DAMAS,20.0
JOSE WALTER,DANADIM (PARANGABA),15.0
JOSE WALTER,DE LOURDES,30.0
JOSE WALTER,DEMOCRITO ROCHA,25.0
JOSE WALTER,DENDE,25.0
JOSE WALTER,DIAS MACEDO,18.0
JOSE WALTER,DIONISIO TORRES,25.0
JOSE WALTER,DOM LUSTOSA,25.0
JOSE WALTER,DRAGAO DO MAR,30.0
JOSE WALTER,DUNAS,30.0
JOSE WALTER,EDSON QUEIROZ,25.0
JOSE WALTER,ELISABETE II,25.0
JOSE WALTER,ESMALTEC (MARACANAU),15.0
JOSE WALTER,EUSEBIO,40.0
JOSE WALTER,EXTRA (MONTESE),20.0
JOSE WALTER,FARIAS BRITO,25.0
JOSE WALTER,FAROESTE,25.0
JOSE WALTER,FAZENDA SAO JERONIMO,90.0
JOSE WALTER,FLORESTA,30.0
JOSE WALTER,FORRO NO SITIO,50.0
JOSE WALTER,FORROZIM (PARANGABA),20.0
JOSE WALTER,FURNA DA ONCA (MARACANAU),30.0
JOSE WALTER,GARROTE (CAUCAIA),70.0
JOSE WALTER,GATE (MARACANAU),30.0
JOSE WALTER,GENIBAU,30.0
JOSE WALTER,GENTILANDIA,25.0
JOSE WALTER,GRANJA LISBOA,30.0
JOSE WALTER,GRANJA PORTUGAL,30.0
JOSE WALTER,GUAIUBA,60.0
JOSE WALTER,GUAJERU,25.0
JOSE WALTER,GUARAMIRANGA,180.0
JOSE WALTER,GUARARAPES,25.0
JOSE WALTER,HAPVIDA ANA LIMA,15.0
JOSE WALTER,HEMOCE,25.0
JOSE WALTER,HENRIQUE JORGE,25.0
JOSE WALTER,HIPER BOMPRECO (BORGE DE MELO),25.0
JOSE WALTER,HIPER BOMPRECO (PAPICU),30.0
JOSE WALTER,HORIZONTE,60.0
JOSE WALTER,HORTO (MARACANAU),30.0
JOSE WALTER,HOSPITAL ALBERT SABIEN,20.0
JOSE WALTER,HOSPITAL ANTONIO PRUDENTE (AGUANAMBI),25.0
JOSE WALTER,HOSPITAL BATISTA/ALDEOTA,25.0
JOSE WALTER,HOSPITAL CESAR CALS (CENTRO),25.0
JOSE WALTER,HOSPITAL CURA DARS/SAO CAMILO,30.0
JOSE WALTER,HOSPITAL DA CRIANCA (MONTESE),20.0
JOSE WALTER,HOSPITAL DA MULHER,23.0
JOSE WALTER,HOSPITAL DAS CLINICAS,25.0
JOSE WALTER,HOSPITAL DO CORACAO (MESSEJANA),20.0
JOSE WALTER,HOSPITAL FROTINHA DA PARANGABA,20.0
JOSE WALTER,HOSPITAL FROTINHA DE MESSEJANA,18.0
JOSE WALTER,HOSPITAL GENESIS,25.0
JOSE WALTER,HOSPITAL GERAL,30.0
JOSE WALTER,HOSPITAL GONZAGUINHA MESSEJANA,20.0
JOSE WALTER,HOSPITAL HGF,30.0
JOSE WALTER,HOSPITAL ICC (JOSE BASTOS),25.0
JOSE WALTER,HOSPITAL LUIZ DE FRANCA,25.0
JOSE WALTER,HOSPITAL MARACANAU,20.0
JOSE WALTER,HOSPITAL MENTAL (MESSEJANA),20.0
JOSE WALTER,HOSPITAL POLICIA MILITAR,25.0
JOSE WALTER,HOSPITAL PRONTOCARDIO,30.0
JOSE WALTER,HOSPITAL SANTA CASA (CENTRO),25.0
JOSE WALTER,HOSPITAL SAO CARLOS,25.0
JOSE WALTER,HOSPITAL SAO JOSE (PARQUELANDIA),25.0
JOSE WALTER,HOSPITAL SAO MATEUS,30.0
JOSE WALTER,HOSPITAL SAO RAIMUNDO,30.0
JOSE WALTER,HOSPITAL WALDEMAR DE ALCANTARA,25.0
JOSE WALTER,ICARAI,60.0
JOSE WALTER,INDUSTRIAL,15.0
JOSE WALTER,IPARANA,50.0
JOSE WALTER,ITAITINGA,40.0
JOSE WALTER,ITAMARATY,20.0
JOSE WALTER,ITAOCA,20.0
JOSE WALTER,ITAPERI,10.0
JOSE WALTER,ITAPIPOCA,200.0
JOSE WALTER,JACANAU ( MARACANAU ),30.0
JOSE WALTER,JACARECANGA,30.0
JOSE WALTER,JANGURUSSU,15.0
JOSE WALTER,JARDIM AMERICA,20.0
JOSE WALTER,JARDIM CEARENSE,15.0
JOSE WALTER,JARDIM DAS OLIVEIRAS,20.0
JOSE WALTER,JARDIM GUANABARA,30.0
JOSE WALTER,JARDIM IRACEMA,30.0
JOSE WALTER,JARDIM UNIAO,15.0
JOSE WALTER,JARDIM VIOLETA,15.0
JOSE WALTER,JARI ( MARACANAU ),30.0
JOSE WALTER,JATOBA,30.0
JOSE WALTER,JEREISSATI I,20.0
JOSE WALTER,JEREISSATI II,25.0
JOSE WALTER,JEREISSATI III,30.0
JOSE WALTER,JOAO XXIII,25.0
JOSE WALTER,JOAQUIM TAVORA,25.0
JOSE WALTER,JOQUEI CLUB,23.0
JOSE WALTER,JOSE BONIFACIO,25.0
JOSE WALTER,JOSE DE ALENCAR,25.0
JOSE WALTER,JOSE WALTER,5.0
JOSE WALTER,JOSE WALTER,5.0
JOSE WALTER,JUREMA,40.0
JOSE WALTER,LAGOA REDONDA,25.0
JOSE WALTER,LAGO DO JACAREY (CAMBEBA),20.0
JOSE WALTER,LEBLON (OSORIO DE PAIVA),25.0
JOSE WALTER,LUCIANO CAVALCANTE,25.0
JOSE WALTER,LUZARDO VIANA(MARACANAU),30.0
JOSE WALTER,MAKRO ATACADISTA (BR-116),20.0
JOSE WALTER,MANUEL DIAS BRANCO,30.0
JOSE WALTER,MARACANAU (MARACANAU),20.0
JOSE WALTER,MARANGUAPE,50.0
JOSE WALTER,MARAPONGA,15.0
JOSE WALTER,MARAPONGA MART MODA,15.0
JOSE WALTER,MARCOS FREIRE,7.0
JOSE WALTER,MARINA PARK,30.0
JOSE WALTER,MATA GALINHA,15.0
JOSE WALTER,MATERNIDADE ESCOLA,25.0
JOSE WALTER,MEIRELES,30.0
JOSE WALTER,MERCADO CENTRAL,30.0
JOSE WALTER,MESSEJANA,18.0
JOSE WALTER,METROPOLE,40.0
JOSE WALTER,MONDUBIM,15.0
JOSE WALTER,MONTE CASTELO,30.0
JOSE WALTER,MONTENEGRO 1 (JOSE WALTER),7.0
JOSE WALTER,MONTENEGRO 2 (JOSE WALTER),5.0
JOSE WALTER,MONTESE,20.0
JOSE WALTER,MOURA BRASIL,30.0
JOSE WALTER,MUCUNA DE BAIXO,30.0
JOSE WALTER,MUCURIPE,35.0
JOSE WALTER,MUCURIPE CLUBE,30.0
JOSE WALTER,MUSIQUE,25.0
JOSE WALTER,NORTH SHOPPING (BEZERRA),30.0
JOSE WALTER,NOVO MARACANAU,25.0
JOSE WALTER,NOVO MONDUBIM,15.0
JOSE WALTER,NOVO ORIENTE ( MARACANAU ),20.0
JOSE WALTER,PACAJUS,70.0
JOSE WALTER,PACATUBA,50.0
JOSE WALTER,PACHECO,50.0
JOSE WALTER,PADRE ANDRADE,30.0
JOSE WALTER,PAJUCARA (MARACANAU),15.0
JOSE WALTER,PALMACIA,120.0
JOSE WALTER,PAN-AMERICANO,25.0
JOSE WALTER,PAPICU,30.0
JOSE WALTER,PARANGABA,20.0
JOSE WALTER,PARQUE ARAXA,25.0
JOSE WALTER,PARQUE DOIS IRMAOS,15.0
JOSE WALTER,PARQUE DO VAQUEIRO,40.0
JOSE WALTER,PARQUE IRACEMA,20.0
JOSE WALTER,PARQUELANDIA,25.0
JOSE WALTER,PARQUE MANIBURA,20.0
JOSE WALTER,PARQUE SANTA MARIA,20.0
JOSE WALTER,PARQUE SANTANA,15.0
JOSE WALTER,PARQUE SANTA ROSA (APOLO XI),20.0
JOSE WALTER,PARQUE SANTA ROSA (ESPERANÇA),20.0
JOSE WALTER,PARQUE SAO JOSE,20.0
JOSE WALTER,PARREAO,18.0
JOSE WALTER,PASSARE,15.0
JOSE WALTER,PATACAS (AQUIRAZ),50.0
JOSE WALTER,PATIO ARVOREDO,7.0
JOSE WALTER,PAUPINA,20.0
JOSE WALTER,PAVUNA,35.0
JOSE WALTER,PECEM,100.0
JOSE WALTER,PEDRAS,25.0
JOSE WALTER,PEQUENO MONDUBIM,5.0
JOSE WALTER,PICI (PARQUE UNIVERSITARIO),30.0
JOSE WALTER,PIEDADE,25.0
JOSE WALTER,PINDORETAMA,70.0
JOSE WALTER,PIRAMBU,35.0
JOSE WALTER,PLANALTO AYRTON SENNA,8.0
JOSE WALTER,PORTO DAS DUNAS,40.0
JOSE WALTER,PRAIA CACA E PESCA,35.0
JOSE WALTER,PRAIA DA CAPONGA,90.0
JOSE WALTER,PRAIA DA COFECO,35.0
JOSE WALTER,PRAIA DA PRAINHA,50.0
JOSE WALTER,PRAIA DA TABUBA,70.0
JOSE WALTER,PRAIA DE BEBERIBE,130.0
JOSE WALTER,PRAIA DE IRACEMA,30.0
JOSE WALTER,PRAIA DE PARACURU,150.0
JOSE WALTER,PRAIA DO BALBINO,90.0
JOSE WALTER,PRAIA DO BATOQUE,80.0
JOSE WALTER,PRAIA DO CUMBUCO,70.0
JOSE WALTER,PRAIA DO FORTIM,180.0
JOSE WALTER,PRAIA DO FUTURO,35.0
JOSE WALTER,PRAIA DO ICARAI,60.0
JOSE WALTER,PRAIA DO IGUAPE,60.0
JOSE WALTER,PRAIA DO IGUAPE,60.0
JOSE WALTER,PRAIA DO JAPAO,50.0
JOSE WALTER,PRAIA DO PRESIDIO,60.0
JOSE WALTER,PRAIA SABIAGUABA,35.0
JOSE WALTER,PRESIDENTE KENNEDY,30.0
JOSE WALTER,PRESIDENTE VARGAS,25.0
JOSE WALTER,QUINTINO CUNHA,30.0
JOSE WALTER,REDENCAO,100.0
JOSE WALTER,RESIDENCIAL DEMOCRITO DUMMAR II (MARACANAU),25.0
JOSE WALTER,RESIDENCIAL DEMOCRITO DUMMAR I (MARACANAU),25.0
JOSE WALTER,RODOLFO TEOFILO,25.0
JOSE WALTER,RODOVIARIA (BORGE DE MELO),25.0
JOSE WALTER,RODOVIARIA(MESSEJANA),18.0
JOSE WALTER,SALINAS,25.0
JOSE WALTER,SANTA FE,20.0
JOSE WALTER,SANTA FILOMENA,20.0
JOSE WALTER,SANTA MARIA MESSEJANA,18.0
JOSE WALTER,SAO BENTO (MESSEJANA),20.0
JOSE WALTER,SAO CRISTOVAO,15.0
JOSE WALTER,SAO GERARDO,30.0
JOSE WALTER,SAO JOAO DO TAUAPE,25.0
JOSE WALTER,SAPIRANGA (COITE),25.0
JOSE WALTER,SERRINHA,15.0
JOSE WALTER,SHOPPING ALDEOTA,25.0
JOSE WALTER,SHOPPING AVENIDA,25.0
JOSE WALTER,SHOPPING BENFICA,25.0
JOSE WALTER,SHOPPING CENTER UM,25.0
JOSE WALTER,SHOPPING DEL PASEO,25.0
JOSE WALTER,SHOPPING DIOGO (MESSEJANA),20.0
JOSE WALTER,SHOPPING IGUATEMI,25.0
JOSE WALTER,SHOPPING JOQUEI,23.0
JOSE WALTER,SHOPPING MARACANAU,20.0
JOSE WALTER,SHOPPING PARANGABA,20.0
JOSE WALTER,SHOPPING PATIO DOM LUIZ,30.0
JOSE WALTER,SHOPPING RIO MAR (PAPICU),30.0
JOSE WALTER,SHOPPING VIA SUL,23.0
JOSE WALTER,SIARA HALL,25.0
JOSE WALTER,SIQUEIRA I,20.0
JOSE WALTER,SITIO CORREGO,10.0
JOSE WALTER,SITIO DA VOVO MARACANAU,35.0
JOSE WALTER,SITIO SAO JOAO,15.0
JOSE WALTER,TAIBA,120.0
JOSE WALTER,TAMANDARE,18.0
JOSE WALTER,TANCREDO NEVES,25.0
JOSE WALTER,TIMBO (MARACANAU),20.0
JOSE WALTER,UNIFOR,25.0
JOSE WALTER,UPA ITAPERY,15.0
JOSE WALTER,UPA JOSE WALTER,10.0
JOSE WALTER,UPA MESSEJANA,20.0
JOSE WALTER,VARJOTA,30.0
JOSE WALTER,VICENTE PINZON,35.0
JOSE WALTER,VILA DAS FLORES (MARACANAU),30.0
JOSE WALTER,VILA DAS FLORES (MARACANAU),35.0
JOSE WALTER,VILA ELLERY,30.0
JOSE WALTER,VILA MANOEL SATIRO,18.0
JOSE WALTER,VILA PERY,20.0
JOSE WALTER,VILA UNIAO,20.0
JOSE WALTER,VILA VELHA,35.0
JUREMA,JEREISSATI I,40.0
JUREMA,JOSE WALTER,40.0
JUREMA,MESSEJANA,50.0
JUREMA,PARANGABA,25.0
KUKUKAYA,AEROLANDIA,10.0
KUKUKAYA,JEREISSATI I,45.0
KUKUKAYA,SAO JOAO DO TAUAPE,7.0
LAGOA REDONDA,AEROLANDIA,30.0
LAGOA REDONDA,AEROPORTO,30.0
LAGOA REDONDA,ALDEOTA,30.0
LAGOA REDONDA,ALTO ALEGRE (MESSEJANA),15.0
LAGOA REDONDA,ANTONIO BEZERRA,40.0
LAGOA REDONDA,BARROSO I,25.0
LAGOA REDONDA,CAJAZEIRAS,20.0
LAGOA REDONDA,CAMBEBA,15.0
LAGOA REDONDA,CASTELAO,20.0
LAGOA REDONDA,CIDADE DOS FUNCIONARIOS,18.0
LAGOA REDONDA,CONJUNTO ESPERANCA,35.0
LAGOA REDONDA,CONJUNTO PALMEIRAS,20.0
LAGOA REDONDA,DIONISIO TORRES,35.0
LAGOA REDONDA,EDSON QUEIROZ,25.0
LAGOA REDONDA,GUAJERU,10.0
LAGOA REDONDA,GUARARAPES,25.0
LAGOA REDONDA,ITAMARATY,15.0
LAGOA REDONDA,ITAOCA,35.0
LAGOA REDONDA,JARDIM DAS OLIVEIRAS,17.0
LAGOA REDONDA,JEREISSATI I,45.0
LAGOA REDONDA,JOSE WALTER,25.0
LAGOA REDONDA,LAGO DO JACAREY (CAMBEBA),18.0
LAGOA REDONDA,LUCIANO CAVALCANTE,15.0
LAGOA REDONDA,MARACANAU (MARACANAU),45.0
LAGOA REDONDA,MARAPONGA,25.0
LAGOA REDONDA,MEIRELES,30.0
LAGOA REDONDA,MESSEJANA,15.0
LAGOA REDONDA,MONTESE,35.0
LAGOA REDONDA,NORTH SHOPPING (BEZERRA),35.0
LAGOA REDONDA,PAPICU,35.0
